reviewID,total_pros,total_cons
rw0629,2,0
rw0630,2,3
rw0632,1,0
rw0633,0,2
rw0634,1,2
rw0635,1,0
rw0636,0,0
rw0637,0,0
rw0638,1,1
rw0639,2,1
rw0640,2,0
rw0641,2,0
rw0642,0,0
rw0643,2,1
rw0644,2,2
rw0645,0,1
rw0646,1,0
rw0647,0,1
rw0648,2,1
rw0649,2,1
rw0650,0,4
rw0651,1,1
rw0652,5,5
rw0653,7,3
rw0654,1,1
rw0655,0,0
rw0656,1,0
rw0657,1,1
rw0658,0,3
rw0659,1,0
rw0660,1,1
rw0661,1,1
rw0662,0,0
rw0663,1,1
rw0664,1,0
rw0665,1,0
rw0666,2,0
rw0667,0,0
rw0668,0,1
rw0669,0,3
rw0670,3,5
rw0671,0,2
rw0672,1,0
rw0673,2,0
rw0675,1,2
rw0676,4,2
rw0677,1,1
rw0678,2,1
rw0679,0,2
rw0680,0,2
rw0681,1,0
rw0682,1,0
rw0683,1,1
rw0684,0,1
rw0685,0,0
rw0686,1,0
rw0687,0,1
rw0688,1,0
rw0689,1,0
rw0690,1,2
rw0691,0,2
rw0692,2,6
rw0693,2,1
rw0694,0,0
rw0695,2,1
rw0696,4,1
rw0697,0,0
rw0698,2,0
rw0699,0,0
rw0700,2,0
rw0701,2,1
rw0702,0,1
rw0703,1,1
rw0704,4,3
rw0705,0,0
rw0706,1,1
rw0708,0,0
rw0709,1,1
rw0710,0,0
rw0711,1,0
rw0712,0,1
rw0713,2,3
rw0714,2,2
rw0715,0,2
rw0716,1,0
rw0717,1,1
rw0718,0,1
rw0719,0,0
rw0720,1,0
rw0721,0,1
rw0722,1,0
rw0723,1,0
rw0724,2,0
rw0725,1,0
rw0726,1,1
rw0727,2,1
rw0728,1,4
rw0729,2,1
rw0730,0,0
rw0731,0,0
rw0732,0,0
rw0733,2,1
rw0734,0,0
rw0735,1,2
rw0736,1,1
rw0737,0,0
rw0738,0,1
rw0739,2,1
rw0740,0,1
rw0741,0,0
rw0742,0,0
rw0743,1,1
rw0745,3,0
rw0746,2,2
rw0747,2,1
rw0748,0,1
rw0749,2,0
rw0750,0,0
rw0751,3,2
rw0752,1,0
rw0753,1,1
rw0754,0,0
rw0755,0,0
rw0756,2,0
rw0757,3,1
rw0758,1,1
rw0759,1,1
rw0761,1,1
rw0762,2,1
rw0763,2,1
rw0764,3,2
rw0765,0,2
rw0766,1,1
rw0767,1,1
rw0768,1,0
rw0769,1,0
rw0770,1,0
rw0771,1,0
rw0772,3,0
rw0773,1,0
rw0774,1,1
rw0775,0,2
rw0776,1,1
rw0777,0,1
rw0778,0,0
rw0779,0,3
rw0780,1,2
rw0781,0,0
rw0782,1,1
rw0783,2,2
rw0784,1,0
rw0785,1,2
rw0786,0,0
rw0787,1,0
rw0788,2,2
rw0789,1,0
rw0790,1,0
rw0791,1,1
rw0792,3,1
rw0793,1,3
rw0794,0,0
rw0796,1,1
rw0797,3,0
rw0798,0,2
rw0799,0,5
rw0800,1,1
rw0801,1,0
rw0802,2,1
rw0803,2,2
rw0804,1,1
rw0805,1,2
rw0806,0,0
rw0807,1,2
rw0808,0,0
rw0809,1,2
rw0810,0,1
rw0811,0,1
rw0812,2,0
rw0813,0,1
rw0814,5,0
rw0815,3,3
rw0816,0,0
rw0817,1,0
rw0818,0,1
rw0819,0,3
rw0820,3,2
rw0821,1,0
rw0823,1,1
rw0824,1,1
rw0825,1,0
rw0826,0,0
rw0827,0,1
rw0829,2,0
rw0830,1,1
rw0831,0,0
rw0832,1,2
rw0833,0,0
rw0834,0,3
rw0835,1,0
rw0836,1,1
rw0837,2,1
rw0838,0,2
rw0839,2,0
rw0840,3,3
rw0841,1,0
rw0842,1,1
rw0843,0,0
rw0844,0,1
rw0845,5,0
rw0846,1,1
rw0847,0,0
rw0848,1,1
rw0849,2,8
rw0850,2,2
rw0851,4,1
rw0852,0,0
rw0853,1,1
rw0854,0,1
rw0855,2,1
rw0856,1,0
rw0857,1,2
rw0858,1,0
rw0859,0,0
rw0860,1,2
rw0861,1,1
rw0862,2,1
rw0863,1,0
rw0864,1,0
rw0865,0,1
rw0866,1,1
rw0867,2,3
rw0868,0,1
rw0869,2,3
rw0870,0,1
rw0871,0,0
rw0872,2,0
rw0873,0,0
rw0874,1,0
rw0875,0,1
rw0876,1,0
rw0877,2,0
rw0878,0,0
rw0879,1,1
rw0880,1,0
rw0881,0,2
rw0882,4,4
rw0883,1,1
rw0884,0,2
rw0885,1,1
rw0886,0,0
rw0887,1,5
rw0888,1,1
rw0889,1,1
rw0890,1,1
rw0891,1,2
rw0892,0,1
rw0893,3,0
rw0894,1,1
rw0895,1,0
rw0896,2,0
rw0898,2,0
rw0899,3,1
rw0900,1,1
rw0901,2,2
rw0902,2,4
rw0903,2,2
rw0904,2,0
rw0905,0,2
rw0906,1,0
rw0907,1,0
rw0908,2,1
rw0909,0,0
rw0910,1,1
rw0911,0,2
rw0912,1,0
rw0913,2,2
rw0914,2,0
rw0915,2,6
rw0916,0,1
rw0917,5,0
rw0918,0,1
rw0919,2,4
rw0920,0,0
rw0921,1,1
rw0922,3,0
rw0923,1,0
rw0924,0,0
rw0925,1,2
rw0926,2,5
rw0927,2,2
rw0928,1,0
rw0929,0,0
rw0930,1,1
rw0931,0,2
rw0932,1,1
rw0933,2,1
rw0934,3,0
rw0935,1,0
rw0936,1,0
rw0937,0,2
rw0938,1,0
rw0939,0,2
rw0940,2,1
rw0941,1,1
rw0942,1,2
rw0943,0,0
rw0944,2,3
rw0945,1,2
rw0946,0,0
rw0947,2,0
rw0948,1,1
rw0949,0,2
rw0950,2,1
rw0951,1,1
rw0952,2,1
rw0953,0,0
rw0954,4,2
rw0955,3,7
rw0956,0,0
rw0957,2,0
rw0958,1,1
rw0959,1,0
rw0960,2,0
rw0961,1,0
rw0962,3,2
rw0963,2,1
rw0964,2,0
rw0965,0,3
rw0966,0,1
rw0967,4,0
rw0968,1,2
rw0970,1,4
rw0971,0,0
rw0972,1,1
rw0973,3,0
rw0974,0,0
rw0975,1,1
rw0976,1,1
rw0978,1,0
rw0979,6,1
rw0980,1,0
rw0981,2,1
rw0982,0,1
rw0983,1,2
rw0984,1,0
rw0985,0,0
rw0986,0,0
rw0987,1,2
rw0988,1,1
rw0989,1,0
rw0990,1,3
rw0991,0,0
rw0992,3,2
rw0993,0,0
rw0994,2,6
rw0995,1,0
rw0996,0,1
rw0997,1,3
rw0998,0,1
rw0999,0,1
rw1000,2,0
rw10000,2,1
rw10001,1,1
rw10002,0,0
rw10003,3,1
rw10004,3,2
rw10005,0,0
rw10006,2,0
rw10007,2,2
rw10008,0,0
rw10009,2,1
rw1001,0,1
rw10010,4,0
rw10011,1,1
rw10012,2,1
rw10013,1,3
rw10014,1,1
rw10015,0,1
rw10016,0,1
rw10017,0,0
rw10018,2,0
rw10019,1,0
rw1002,0,0
rw10020,1,1
rw10021,2,1
rw10022,3,1
rw10023,1,0
rw10024,0,0
rw10025,1,0
rw10026,1,0
rw10027,1,0
rw10028,5,2
rw10029,0,0
rw1003,1,4
rw10030,1,0
rw10031,2,1
rw10032,1,0
rw10033,3,0
rw10034,0,0
rw10035,1,0
rw10036,2,1
rw10037,1,0
rw10038,3,1
rw10039,1,0
rw1004,2,0
rw10040,3,2
rw10041,2,1
rw10042,0,0
rw10043,1,0
rw10044,2,0
rw10045,0,1
rw10046,0,0
rw10047,2,1
rw10048,2,0
rw10049,1,1
rw1005,1,2
rw10050,1,1
rw10051,1,2
rw10052,2,1
rw10053,3,2
rw10054,1,0
rw10055,0,1
rw10056,2,3
rw10057,0,2
rw10058,0,1
rw10059,1,1
rw1006,1,0
rw10060,1,2
rw10061,3,0
rw10062,1,0
rw10063,2,0
rw10064,1,0
rw10065,0,0
rw10066,0,1
rw10067,4,0
rw10068,2,0
rw10069,0,1
rw1007,0,1
rw10070,0,5
rw10071,0,0
rw10072,0,2
rw10073,1,0
rw10074,1,1
rw10075,1,1
rw10076,2,0
rw10077,1,0
rw10078,1,1
rw10079,3,0
rw1008,0,0
rw10080,0,0
rw10081,0,0
rw10082,1,4
rw10083,2,0
rw10084,1,0
rw10085,1,0
rw10086,0,1
rw10087,0,0
rw10088,1,0
rw10089,1,1
rw1009,1,1
rw10090,0,1
rw10091,0,0
rw10092,3,1
rw10093,1,7
rw10094,3,1
rw10095,1,1
rw10096,0,6
rw10097,1,0
rw10098,1,1
rw10099,3,2
